fid,name,type,monster,img,message_enter,message_leave
200602,秘密警察总部,110102,0,53,被你端掉的秘密警察总部,被你端掉的秘密警察总部
200701,帝都城管局,110101,15,19,这里是卡森廷的城管局。大量被洗脑的卡森廷城管挥舞着电击棒向你冲来,你躲过了一波又一波的袭击，并制服了这帮发狂的疯子
200702,帝都城管局,110102,0,53,安静的卡森廷城管局,安静的卡森廷城管局
200801,帝国司令部,110101,40,19,"这里是奥赛帝国军的总司令部。静静等待着你的是，帝国军的元帅
（需要魔鬼的头颅）",你战胜了帝国元帅。那枚象征着“自由”与“正义”的开国元勋徽章，从他的胸前滑落。你走过去，弯下腰，默默地将其捡了起来
200802,帝国司令部,110102,0,53,静谧的帝国军司令部，仿佛正默默诉说着曾经的辉煌和历史,静谧的帝国军司令部，仿佛正默默诉说着曾经的辉煌和历史
200901,飞空艇基地,110301,3,25,"这是奥赛帝国在卡森廷周边建立的飞空艇基地，四周环绕的城墙上没有一扇可供进出的大门
（需要穿透门）",你战胜了把守这里的帝国大将。现在，你可以搭乘这里的飞空艇，前往最终决战之地——浮空之岛：鹿的圣殿了！
200902,飞空艇基地,110302,0,26,"要去往 鹿的圣殿 吗？","要去往 鹿的圣殿 吗？"
210101,忏悔室,110101,3,65,来吧！向唯一且至高无上的鹿神忏悔自己的罪过吧,你破坏掉了这间忏悔室。“这种虚假的伪物，何谈称之谓神？”
210102,忏悔室,110102,0,53,被你拆除的鹿教忏悔室,被你拆除的鹿教忏悔室
210201,情报贩子,100501,0,43,一位自称情报商人的家伙拦住了你，笑着向你兜售所谓的高级稀缺货,
210301,神秘商店,100501,0,43,你误打误撞开启了暗门，发现了一间神奇的杂货店。要进去看看吗？,
210401,奉纳室,110101,8,47,"用来存放人们供奉给鹿神的各种俸禄的储藏室。DNA扫描装置的存在使得只有LK2星人才能自由进出
（需要基因破解器）",你破坏掉了这间奉纳室，并缴获了储藏的全部物资
210402,奉纳室,110102,0,48,被你控制的奉纳室,被你控制的奉纳室
210501,麝之厅,110101,8,77,"这是圣殿中的麝之厅。DNA扫描装置的存在使得只有LK2星人才能自由进出
（需要基因破解器）",你破坏掉了这间麝之厅
210502,麝之厅,110102,0,53,被你破坏掉的麝之厅,被你破坏掉的麝之厅
210601,麂之厅,110101,8,77,"这是圣殿中的麂之厅。DNA扫描装置的存在使得只有LK2星人才能自由进出
（需要基因破解器）",你破坏掉了这间麂之厅
210602,麂之厅,110102,0,53,被你破坏掉的麂之厅,被你破坏掉的麂之厅
210701,麋之厅,110101,8,77,"这是圣殿中的麋之厅。DNA扫描装置的存在使得只有LK2星人才能自由进出
（需要基因破解器）",你破坏掉了这间麋之厅
210702,麋之厅,110102,0,53,被你破坏掉的麋之厅,被你破坏掉的麋之厅
210801,皇帝行宫,110101,8,61,"因为帝都·卡森廷持续战乱，所以奥赛帝王·佐迪亚克移驾到鹿的圣殿之中避难
（需要穿透门）",你击败了佐迪亚克。他仓惶而逃，头上的黄道之冠掉落到地上也不管不顾
210802,皇帝行宫,110102,0,53,失去了帝王的行宫，还叫行宫吗？,失去了帝王的行宫，还叫行宫吗？
210901,迦南之殿,110101,20,61,"这是圣殿中的迦南之殿。在神殿外就能听见从内传来的阵阵弥撒之音
（需要门禁卡）",你击败了玛士撒拉。他像烟一样地飘散升天，只在地上掉落下了一块血滴般鲜红的矿物结晶
210902,迦南之殿,110102,0,53,迦南之殿的主人，也许已经去到了迦南,迦南之殿的主人，也许已经去到了迦南
211001,加沙之殿,110101,20,61,这是圣殿中的加沙之殿。在神殿外就能听见从内传来的阵阵弥撒之音,你肃清了这里的邪教徒。现在，向着最终决战之地——起源祭坛继续前进吧
211002,加沙之殿,110102,0,53,已然空无一人的加沙之殿,已然空无一人的加沙之殿
211101,起源祭坛,110101,45,19,"无数的鹿教教徒正在做着对鹿教之神·温迪戈最终的召唤工作。英雄啊，你能顺利阻止他们吗？
（需要圣遗物）",你终于斩杀了这虚假之神。希望的曙光，又将再次照亮于这个星球。英雄啊，感谢你！
211102,起源祭坛,110102,0,53,你的大名，终将刻在这祭坛的石碑上供世人敬仰！,你的大名，终将刻在这祭坛的石碑上供世人敬仰！
211201,LK2星人指挥中心,110301,3,25,"眼见计谋将要失败的LK2星人企图带着HyB电波发射器逃走。乘上企业号，阻止它们再去祸害别的星球
（需要企业号飞空艇）",你消灭了LK2星最高首脑。当你购买了地图包“湮灭的历史”后，就可以前往圣山·格鲁赛特了
211202,LK2星人指挥中心,110302,0,26,"要去往 圣山·格鲁赛特 吗？","要去往 圣山·格鲁赛特 吗？"
211301,水晶密室,110201,10,41,这里是无限轮回的水晶密室。想获得知识？想获得力量？那就不断地重复挑战它吧！,当你离开这里时，这里的一切也都将重置。因为这就是，无限轮回的水晶密室
220101,山中藏宝阁,110101,1,41,"你发现了这个隐秘的山中藏宝阁，要想获得其中的秘宝，必需要先付出一定的代价
（需要原力水晶×5）",你战胜了藏宝阁中的守卫，并获得了其中的秘宝
220102,山中藏宝阁,110102,0,53,空荡荡的山中藏宝阁,空荡荡的山中藏宝阁
220201,山中藏宝阁,110101,1,41,"你发现了这个隐秘的山中藏宝阁，要想获得其中的秘宝，必需要先付出一定的代价
（需要原力水晶×5）",你战胜了藏宝阁中的守卫，并获得了其中的秘宝
220202,山中藏宝阁,110102,0,53,空荡荡的山中藏宝阁,空荡荡的山中藏宝阁
220301,山中藏宝阁,110101,1,41,"你发现了这个隐秘的山中藏宝阁，要想获得其中的秘宝，必需要先付出一定的代价
（需要原力水晶×5）",你战胜了藏宝阁中的守卫，并获得了其中的秘宝
220302,山中藏宝阁,110102,0,53,空荡荡的山中藏宝阁,空荡荡的山中藏宝阁
220401,山中藏宝阁,110101,1,41,"你发现了这个隐秘的山中藏宝阁，要想获得其中的秘宝，必需要先付出一定的代价
（需要原力水晶×5）",你战胜了藏宝阁中的守卫，并获得了其中的秘宝
220402,山中藏宝阁,110102,0,53,空荡荡的山中藏宝阁,空荡荡的山中藏宝阁
220501,山中藏宝阁,110101,1,41,"你发现了这个隐秘的山中藏宝阁，要想获得其中的秘宝，必需要先付出一定的代价
（需要原力水晶×5）",你战胜了藏宝阁中的守卫，并获得了其中的秘宝
220502,山中藏宝阁,110102,0,53,空荡荡的山中藏宝阁,空荡荡的山中藏宝阁
220601,山中藏宝阁,110101,1,41,"你发现了这个隐秘的山中藏宝阁，要想获得其中的秘宝，必需要先付出一定的代价
（需要原力水晶×5）",你战胜了藏宝阁中的守卫，并获得了其中的秘宝
220602,山中藏宝阁,110102,0,53,空荡荡的山中藏宝阁,空荡荡的山中藏宝阁
220701,山中藏宝阁,110101,1,41,"你发现了这个隐秘的山中藏宝阁，要想获得其中的秘宝，必需要先付出一定的代价
（需要原力水晶×5）",你战胜了藏宝阁中的守卫，并获得了其中的秘宝
220702,山中藏宝阁,110102,0,53,空荡荡的山中藏宝阁,空荡荡的山中藏宝阁
220801,山中藏宝阁,110101,1,41,"你发现了这个隐秘的山中藏宝阁，要想获得其中的秘宝，必需要先付出一定的代价
（需要原力水晶×5）",你战胜了藏宝阁中的守卫，并获得了其中的秘宝
220802,山中藏宝阁,110102,0,53,空荡荡的山中藏宝阁,空荡荡的山中藏宝阁
220901,山中藏宝阁,110101,1,41,"你发现了这个隐秘的山中藏宝阁，要想获得其中的秘宝，必需要先付出一定的代价
（需要原力水晶×5）",你战胜了藏宝阁中的守卫，并获得了其中的秘宝
220902,山中藏宝阁,110102,0,53,空荡荡的山中藏宝阁,空荡荡的山中藏宝阁
221001,山中藏宝阁,110101,1,41,"你发现了这个隐秘的山中藏宝阁，要想获得其中的秘宝，必需要先付出一定的代价
（需要原力水晶×5）",你战胜了藏宝阁中的守卫，并获得了其中的秘宝
221002,山中藏宝阁,110102,0,53,空荡荡的山中藏宝阁,空荡荡的山中藏宝阁
221101,山中藏宝阁,110101,1,41,"你发现了这个隐秘的山中藏宝阁，要想获得其中的秘宝，必需要先付出一定的代价
（需要原力水晶×5）",你战胜了藏宝阁中的守卫，并获得了其中的秘宝
221102,山中藏宝阁,110102,0,53,空荡荡的山中藏宝阁,空荡荡的山中藏宝阁
221201,山中藏宝阁,110101,1,41,"你发现了这个隐秘的山中藏宝阁，要想获得其中的秘宝，必需要先付出一定的代价
（需要原力水晶×5）",你战胜了藏宝阁中的守卫，并获得了其中的秘宝
221202,山中藏宝阁,110102,0,53,空荡荡的山中藏宝阁,空荡荡的山中藏宝阁
221301,山中藏宝阁,110101,1,41,"你发现了这个隐秘的山中藏宝阁，要想获得其中的秘宝，必需要先付出一定的代价
（需要原力水晶×5）",你战胜了藏宝阁中的守卫，并获得了其中的秘宝
221302,山中藏宝阁,110102,0,53,空荡荡的山中藏宝阁,空荡荡的山中藏宝阁
221401,山中藏宝阁,110101,1,41,"你发现了这个隐秘的山中藏宝阁，要想获得其中的秘宝，必需要先付出一定的代价
（需要原力水晶×5）",你战胜了藏宝阁中的守卫，并获得了其中的秘宝
221402,山中藏宝阁,110102,0,53,空荡荡的山中藏宝阁,空荡荡的山中藏宝阁
221501,山中藏宝阁,110101,1,41,"你发现了这个隐秘的山中藏宝阁，要想获得其中的秘宝，必需要先付出一定的代价
（需要原力水晶×5）",你战胜了藏宝阁中的守卫，并获得了其中的秘宝
221502,山中藏宝阁,110102,0,53,空荡荡的山中藏宝阁,空荡荡的山中藏宝阁
221601,山中藏宝阁,110101,1,41,"你发现了这个隐秘的山中藏宝阁，要想获得其中的秘宝，必需要先付出一定的代价
（需要原力水晶×5）",你战胜了藏宝阁中的守卫，并获得了其中的秘宝
221602,山中藏宝阁,110102,0,53,空荡荡的山中藏宝阁,空荡荡的山中藏宝阁
221701,山中藏宝阁,110101,1,41,"你发现了这个隐秘的山中藏宝阁，要想获得其中的秘宝，必需要先付出一定的代价
（需要原力水晶×5）",你战胜了藏宝阁中的守卫，并获得了其中的秘宝
221702,山中藏宝阁,110102,0,53,空荡荡的山中藏宝阁,空荡荡的山中藏宝阁
221801,山中藏宝阁,110101,1,41,"你发现了这个隐秘的山中藏宝阁，要想获得其中的秘宝，必需要先付出一定的代价
（需要原力水晶×5）",你战胜了藏宝阁中的守卫，并获得了其中的秘宝
221802,山中藏宝阁,110102,0,53,空荡荡的山中藏宝阁,空荡荡的山中藏宝阁
221901,山中修炼所,110101,3,55,你发现了这个隐秘的山中修炼所，如果对自己的实力有信心的话，不妨就挑战试试吧！,你成功挑战了山中修炼所，并获得了奥利哈刚作为奖励
221902,山中修炼所,110102,0,53,空荡荡的山中修炼所,空荡荡的山中修炼所
